,Date,Comp,Round,Venue,Result,Score,Opponent,xG,xGA,Attendance,Percent
0,2022-02-27,MLS,Regular Season,Away,W,1,0,1.0,0.5,30013,0.0
1,2022-03-05,MLS,Regular Season,Away,D,1,1,1.7,1.9,18107,0.0
2,2022-03-12,MLS,Regular Season,Away,L,0,2,0.2,1.7,13448,0.0
3,2022-03-19,MLS,Regular Season,Away,L,1,2,2.3,0.9,20036,0.0
4,2022-04-02,MLS,Regular Season,Away,W,1,0,0.9,1.7,20371,0.0
5,2022-04-09,MLS,Regular Season,Away,W,2,1,2.8,1.2,18852,0.0
6,2022-04-16,MLS,Regular Season,Away,D,2,2,1.8,1.3,10394,0.0
7,2022-04-23,MLS,Regular Season,Away,L,0,1,0.4,0.9,26674,0.0
8,2022-05-01,MLS,Regular Season,Home,D,1,1,2.0,1.1,30109,1.0
9,2022-05-08,MLS,Regular Season,Home,W,2,0,2.4,0.3,28226,0.9374605599654589
10,2022-05-14,MLS,Regular Season,Away,L,0,2,1.4,1.7,16035,0.0
11,2022-05-18,MLS,Regular Season,Home,W,2,1,0.6,0.8,26003,0.8636288153043941
12,2022-05-21,MLS,Regular Season,Home,D,2,2,1.5,1.9,30109,1.0
13,2022-05-28,MLS,Regular Season,Away,W,3,1,1.7,0.9,15465,0.0
14,2022-06-11,MLS,Regular Season,Home,D,0,0,1.3,0.6,28672,0.9522734066226045
15,2022-06-19,MLS,Regular Season,Home,L,1,2,0.9,0.4,29269,0.9721013650403534
16,2022-06-25,MLS,Regular Season,Away,W,3,1,1.1,0.8,19325,0.0
17,2022-07-03,MLS,Regular Season,Home,D,2,2,1.2,1.9,28387,0.9428077983327244
18,2022-07-09,MLS,Regular Season,Away,L,1,4,2.4,2.1,36244,0.0
19,2022-07-13,MLS,Regular Season,Home,W,1,0,1.3,0.8,26927,0.8943173137600053
20,2022-07-17,MLS,Regular Season,Home,L,1,2,2.0,1.6,30109,1.0
21,2022-07-23,MLS,Regular Season,Away,D,1,1,1.6,1.4,23420,0.0
22,2022-07-30,MLS,Regular Season,Home,D,1,1,1.8,1.3,26578,0.8827260951874855
23,2022-08-03,MLS,Regular Season,Away,D,1,1,1.3,1.5,23101,0.0
24,2022-08-06,MLS,Regular Season,Home,L,3,4,2.4,1.8,26326,0.8743565046995915
25,2022-08-14,MLS,Regular Season,Home,L,1,2,1.5,1.0,25240,0.8382875552160484
26,2022-08-21,MLS,Regular Season,Home,W,4,0,1.8,0.2,25571,0.8492809458965758
27,2022-08-27,MLS,Regular Season,Away,W,3,0,1.5,0.5,16351,0.0
28,2022-08-31,MLS,Regular Season,Home,W,4,1,2.7,0.8,24127,0.8013218638945165
29,2022-09-03,MLS,Regular Season,Home,W,3,0,1.8,0.9,25293,0.8400478262313594
30,2022-09-10,MLS,Regular Season,Home,D,1,1,1.4,2.6,28753,0.9549636321365704
31,2022-09-17,MLS,Regular Season,Away,D,1,1,1.4,0.8,20738,0.0
32,2022-10-02,MLS,Regular Season,Home,L,1,2,1.3,1.9,28720,0.9538676143345843
33,2022-10-09,MLS,Regular Season,Away,W,1,0,1.2,4.5,22205,0.0
34,2022-10-15,MLS,First Round,Away,L,0,1,0.8,1.2,22280,0.0
35,2023-02-25,MLS,Regular Season,Home,W,2,0,1.3,0.4,28051,0.9316483443488658
36,2023-03-04,MLS,Regular Season,Away,D,0,0,0.2,0.5,18474,0.0
37,2023-03-11,MLS,Regular Season,Home,W,2,0,1.5,0.3,25958,0.862134245574413
38,2023-03-18,MLS,Regular Season,Away,L,0,1,1.1,1.1,14930,0.0
39,2023-03-25,MLS,Regular Season,Home,L,0,1,1.0,1.6,28453,0.9449998339366966
40,2023-04-01,MLS,Regular Season,Away,W,2,0,0.6,0.9,20115,0.0
41,2023-04-08,MLS,Regular Season,Home,D,0,0,0.4,1.1,26999,0.896708625327975
42,2023-04-15,MLS,Regular Season,Away,L,1,2,0.9,1.2,18687,0.0
43,2023-04-22,MLS,Regular Season,Home,D,1,1,1.1,1.7,30109,1.0
44,2023-04-29,MLS,Regular Season,Home,W,3,1,2.4,1.4,28793,0.9562921385632203
45,2023-05-06,MLS,Regular Season,Home,W,3,0,4.2,0.4,28611,0.9502474343219636
46,2023-05-13,MLS,Regular Season,Away,D,1,1,0.6,0.5,19215,0.0
47,2023-05-17,MLS,Regular Season,Home,W,2,1,2.4,0.9,25839,0.8581819389551297
48,2023-05-20,MLS,Regular Season,Away,W,2,1,1.1,1.0,30526,0.0
49,2023-05-28,MLS,Regular Season,Home,W,3,1,2.4,0.7,30109,1.0
50,2023-06-03,MLS,Regular Season,Away,W,2,1,0.9,1.4,16890,0.0
51,2023-06-10,MLS,Regular Season,Away,D,1,1,0.4,0.9,27228,0.0
52,2023-06-17,MLS,Regular Season,Home,W,3,1,2.2,1.6,30109,1.0
53,2023-06-21,MLS,Regular Season,Away,L,0,1,1.0,0.9,16247,0.0
54,2023-06-24,MLS,Regular Season,Away,L,0,2,0.4,1.7,20443,0.0
55,2023-07-01,MLS,Regular Season,Home,W,2,0,1.3,0.9,30109,1.0
56,2023-07-08,MLS,Regular Season,Away,L,0,1,1.9,0.6,22348,0.0
57,2023-07-12,MLS,Regular Season,Home,L,0,2,2.2,1.8,30109,1.0
58,2023-07-15,MLS,Regular Season,Away,L,1,3,0.6,2.5,25513,0.0
59,2023-07-23,LC,Leagues Cup,Away,W,2,1,,,16087,0.0
60,2023-07-27,LC,Leagues Cup,Away,W,3,4,,,19817,0.0
61,2023-08-04,LC,Leagues Cup,Home,W,1,1,,,19911,0.6612972865256236
62,2023-08-08,LC,Leagues Cup,Home,W,2,2,,,24662,0.8190906373509582
63,2023-08-11,LC,Leagues Cup,Away,W,5,0,,,19915,0.0
64,2023-08-15,LC,Leagues Cup,Home,W,2,0,,,27732,0.9210535055963334
65,2023-08-19,LC,Leagues Cup,Home,L,1,1,,,30109,1.0
66,2023-08-26,MLS,Regular Season,Away,L,0,4,1.1,3.6,67514,0.0
67,2023-08-30,MLS,Regular Season,Away,D,0,0,0.4,0.6,20452,0.0
68,2023-09-02,MLS,Regular Season,Home,D,1,1,1.4,0.4,27902,0.9266996579095952
69,2023-09-20,MLS,Regular Season,Away,W,3,0,0.7,0.4,16825,0.0
70,2023-09-23,MLS,Regular Season,Away,D,1,1,0.9,1.4,16728,0.0
71,2023-09-30,MLS,Regular Season,Home,D,0,0,0.4,0.6,28291,0.9396193829087648
72,2023-10-04,MLS,Regular Season,Home,L,0,1,0.4,0.5,25273,0.8393835730180345
73,2023-10-07,MLS,Regular Season,Away,D,0,0,0.4,0.5,19387,0.0
74,2023-10-14,MLS,Regular Season,Home,W,3,2,3.4,0.8,27780,0.9226477133083131
75,2023-10-21,MLS,Regular Season,Home,L,0,1,0.5,1.3,27875,0.9258029160716065
76,2023-10-30,MLS,Round One,Away,L,0,1,1.2,1.1,19744,0.0
77,2023-11-07,MLS,Round One,Home,L,0,1,0.4,1.2,25315,0.8407785047660168
